condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,eval_seed,scan_id,scan_replicate,start_index,window_start,trajectory_seed,return,collisions,collision_rate,switches,switch_rate,steps,terminated,truncated
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1001,8,0,141,141,417139048,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1002,9,0,102,102,616035509,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1003,8,1,171,171,53462609,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1004,9,1,252,252,54101657,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1005,8,2,246,246,1164639609,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1006,9,2,381,381,1755513553,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1007,8,3,414,414,1968337963,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1008,9,3,540,540,1011379023,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1009,8,4,307,307,113591513,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1010,9,4,259,259,1879995497,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1011,8,5,375,375,35167692,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1012,9,5,26,26,1950703055,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1013,8,6,346,346,353600298,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1014,9,6,208,208,430395198,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1015,8,7,417,417,799679715,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1016,9,7,279,279,1468889584,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1017,8,8,482,482,498078359,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1018,9,8,300,300,1988742220,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1019,8,9,185,185,1321941717,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,3.0,1020,9,9,160,160,199798587,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1001,8,0,141,141,417139048,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1002,9,0,102,102,616035509,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1003,8,1,171,171,53462609,93.40000000000003,2,0.02,28,0.28,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1004,9,1,252,252,54101657,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1005,8,2,246,246,1164639609,83.20000000000002,7,0.07,35,0.35,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1006,9,2,381,381,1755513553,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1007,8,3,414,414,1968337963,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1008,9,3,540,540,1011379023,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1009,8,4,307,307,113591513,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1010,9,4,259,259,1879995497,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1011,8,5,375,375,35167692,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1012,9,5,26,26,1950703055,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1013,8,6,346,346,353600298,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1014,9,6,208,208,430395198,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1015,8,7,417,417,799679715,97.50000000000004,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1016,9,7,279,279,1468889584,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1017,8,8,482,482,498078359,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1018,9,8,300,300,1988742220,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1019,8,9,185,185,1321941717,91.60000000000004,3,0.03,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,4.0,1020,9,9,160,160,199798587,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1001,8,0,141,141,417139048,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1002,9,0,102,102,616035509,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1003,8,1,171,171,53462609,93.70000000000002,2,0.02,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1004,9,1,252,252,54101657,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1005,8,2,246,246,1164639609,83.80000000000001,7,0.07,29,0.29,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1006,9,2,381,381,1755513553,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1007,8,3,414,414,1968337963,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1008,9,3,540,540,1011379023,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1009,8,4,307,307,113591513,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1010,9,4,259,259,1879995497,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1011,8,5,375,375,35167692,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1012,9,5,26,26,1950703055,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1013,8,6,346,346,353600298,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1014,9,6,208,208,430395198,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1015,8,7,417,417,799679715,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1016,9,7,279,279,1468889584,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1017,8,8,482,482,498078359,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1018,9,8,300,300,1988742220,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1019,8,9,185,185,1321941717,89.9,4,0.04,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,5.0,1020,9,9,160,160,199798587,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1001,8,0,141,141,417139048,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1002,9,0,102,102,616035509,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1003,8,1,171,171,53462609,97.30000000000005,0,0.0,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1004,9,1,252,252,54101657,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1005,8,2,246,246,1164639609,96.90000000000003,0,0.0,31,0.31,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1006,9,2,381,381,1755513553,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1007,8,3,414,414,1968337963,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1008,9,3,540,540,1011379023,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1009,8,4,307,307,113591513,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1010,9,4,259,259,1879995497,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1011,8,5,375,375,35167692,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1012,9,5,26,26,1950703055,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1013,8,6,346,346,353600298,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1014,9,6,208,208,430395198,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1015,8,7,417,417,799679715,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1016,9,7,279,279,1468889584,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1017,8,8,482,482,498078359,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1018,9,8,300,300,1988742220,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1019,8,9,185,185,1321941717,97.20000000000006,0,0.0,28,0.28,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,6.0,1020,9,9,160,160,199798587,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1001,8,0,141,141,417139048,97.20000000000005,0,0.0,28,0.28,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1002,9,0,102,102,616035509,97.20000000000005,0,0.0,28,0.28,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1003,8,1,171,171,53462609,97.20000000000005,0,0.0,28,0.28,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1004,9,1,252,252,54101657,97.50000000000004,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1005,8,2,246,246,1164639609,97.00000000000003,0,0.0,30,0.3,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1006,9,2,381,381,1755513553,97.30000000000004,0,0.0,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1007,8,3,414,414,1968337963,97.30000000000005,0,0.0,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1008,9,3,540,540,1011379023,96.90000000000003,0,0.0,31,0.31,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1009,8,4,307,307,113591513,97.00000000000004,0,0.0,30,0.3,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1010,9,4,259,259,1879995497,97.40000000000005,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1011,8,5,375,375,35167692,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1012,9,5,26,26,1950703055,96.90000000000005,0,0.0,31,0.31,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1013,8,6,346,346,353600298,97.20000000000003,0,0.0,28,0.28,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1014,9,6,208,208,430395198,97.50000000000004,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1015,8,7,417,417,799679715,97.30000000000005,0,0.0,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1016,9,7,279,279,1468889584,97.30000000000004,0,0.0,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1017,8,8,482,482,498078359,96.90000000000003,0,0.0,31,0.31,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1018,9,8,300,300,1988742220,97.30000000000004,0,0.0,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1019,8,9,185,185,1321941717,97.00000000000004,0,0.0,30,0.3,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,7.0,1020,9,9,160,160,199798587,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1001,8,0,141,141,417139048,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1002,9,0,102,102,616035509,97.70000000000003,0,0.0,23,0.23,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1003,8,1,171,171,53462609,97.30000000000004,0,0.0,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1004,9,1,252,252,54101657,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1005,8,2,246,246,1164639609,97.00000000000003,0,0.0,30,0.3,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1006,9,2,381,381,1755513553,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1007,8,3,414,414,1968337963,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1008,9,3,540,540,1011379023,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1009,8,4,307,307,113591513,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1010,9,4,259,259,1879995497,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1011,8,5,375,375,35167692,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1012,9,5,26,26,1950703055,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1013,8,6,346,346,353600298,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1014,9,6,208,208,430395198,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1015,8,7,417,417,799679715,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1016,9,7,279,279,1468889584,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1017,8,8,482,482,498078359,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1018,9,8,300,300,1988742220,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1019,8,9,185,185,1321941717,97.20000000000005,0,0.0,28,0.28,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,8.0,1020,9,9,160,160,199798587,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,9.0,1001,8,0,141,141,417139048,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,9.0,1002,9,0,102,102,616035509,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,9.0,1003,8,1,171,171,53462609,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,9.0,1004,9,1,252,252,54101657,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,9.0,1005,8,2,246,246,1164639609,95.80000000000004,1,0.01,22,0.22,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,9.0,1006,9,2,381,381,1755513553,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,9.0,1007,8,3,414,414,1968337963,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,9.0,1008,9,3,540,540,1011379023,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,9.0,1009,8,4,307,307,113591513,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,9.0,1010,9,4,259,259,1879995497,97.60000000000002,0,0.0,24,0.24,100,False,True
